,InVehicle_Longitudinal_Speed,GPS_Speed,InVehicle_Longitudinal_Accel
0,11.375,11.307097,-0.103
1,11.36670844,11.25596354,-0.353945898
2,11.36233129,11.24911511,-0.090961971
3,11.35866497,11.26327989,-0.043470138
4,11.35674535,11.2703612,-0.037578815
5,11.3555598,11.25554402,-0.039736146
6,11.35239095,11.25280729,-0.074362582
7,11.34554811,11.24361287,-0.055356555
8,11.3383875,11.22973259,0.155169761
9,11.33398455,11.22463044,0.365696077
10,11.3300395,11.22372082,0.576222392
11,11.32416177,11.23474792,0.786748708
12,11.31687485,11.24027837,0.997275024
13,11.31006032,11.2380591,1.20780134
14,11.30283751,11.237968,1.418327656
15,11.29606627,11.21790624,1.628853971
16,11.29037452,11.19215909,1.839380287
17,11.28622078,11.19294526,2.049906603
18,11.2816883,11.19240837,2.260432919
19,11.49221462,11.19021187,2.470959234
20,11.70274093,11.17528079,2.68148555
21,11.91326725,11.15966332,2.892011866
22,12.12379356,11.14729329,3.102538182
23,12.33431988,11.14937153,3.313064498
24,12.54484619,11.15699682,3.523590813
25,12.75537251,11.14354227,3.734117129
26,12.96589883,11.13941475,3.944643445
27,13.17642514,11.12612881,4.155169761
28,13.38695146,11.11795933,4.365696077
29,13.59747777,11.10977567,4.576222392
30,13.80800409,11.09561174,4.786748708
31,14.01853041,11.08152587,4.997275024
32,14.22905672,11.07957537,5.20780134
33,14.43958304,11.1134145,5.418327656
34,14.65010935,11.10187707,5.628853971
35,14.86063567,11.10317488,5.839380287
36,15.07116198,11.09051648,-0.160500128
37,15.2816883,11.08377676,-0.186894355
38,11.16974209,11.09607299,-0.12230153
39,11.16140693,11.07436567,-0.111846071
40,11.15457308,11.0383923,-0.161866555
41,11.14733422,11.03323953,-0.172168542
42,11.13979978,11.014624,-0.122036048
43,11.13279982,11.01839133,-0.059242006
44,11.12919193,11.01919739,-0.060581439
45,11.12430726,11.03533479,-0.061559015
46,11.1177405,11.02795391,-0.072754555
47,11.11069631,11.02242816,-0.059961428
48,11.10555515,11.01478567,-0.076829596
49,11.10180291,11.00226618,-0.021007327
50,11.09906436,10.9843826,-0.116532584
51,11.09481444,10.98993388,-0.08667152
52,11.08796073,10.98551659,-0.138252035
53,11.08070711,10.99201098,-0.076318174
54,11.0754131,10.98467246,-0.120213648
55,11.07305028,10.98653561,-0.131286366
56,11.06982481,10.97734446,-0.13936772
57,11.06446902,10.98021555,-0.108578632
58,11.05455671,10.97037172,-0.30623069
59,11.04357008,10.9645756,-0.219880473
60,11.03330007,10.94313016,-0.261678915
61,11.02730555,10.9387236,-0.176882576
62,11.01992879,10.92620602,-0.151681709
63,11.01604562,10.9084627,-0.096601799
64,11.0117108,10.87149514,-0.098330312
65,11.00779656,10.80952937,-0.089109797
66,11.00343906,10.74722801,-0.07713923
67,11.00025876,10.67829522,-0.094607738
68,10.99718715,10.60757718,-0.081151869
69,10.99344464,10.53083575,-0.11325943
70,10.98771121,10.43650942,-0.084282628
71,10.98202572,10.33573483,-0.06313409
72,10.97937718,10.24580311,-0.026734839
73,10.97969565,10.15726019,-0.073543498
74,10.97767659,10.05182141,-0.076260325
75,10.97019959,9.937522262,-0.193545855
76,10.95498693,9.811897391,-0.247699787
77,10.93262747,9.685780801,-0.40252637
78,10.90280075,9.545422546,-0.41594601
79,10.86752436,9.41021894,-0.509596738
80,10.82526832,9.270447697,-0.530777867
81,11.03579464,9.136227959,-0.651057392
82,11.24632095,8.98412462,-0.665468229
83,11.45684727,8.84159868,-0.749360316
84,11.66737358,8.689125032,-0.752937099
85,11.8778999,8.535916464,-0.865609232
86,12.08842621,8.364401184,-0.905914045
87,12.29895253,8.207012988,-1.008704689
88,12.50947885,8.037167402,-1.078484772
89,12.72000516,7.88516309,-1.139895393
90,12.93053148,7.706891034,-1.189956584
91,13.14105779,7.54096189,-1.210770341
92,13.35158411,7.376127998,-1.309817621
93,13.56211043,7.210011105,-1.2510809
94,13.77263674,7.040736597,-1.313032879
95,13.98316306,6.877486981,-1.326801964
96,14.19368937,6.708361363,-1.410225671
97,14.40421569,6.534530871,-1.481594007
98,14.614742,6.370871624,-1.502235561
99,14.82526832,6.201169319,-1.548746854
100,8.638017243,6.026223634,-1.593174893
101,8.481411943,5.872579412,-1.604636299
102,8.319086978,5.701856784,-1.639206488
103,8.154838491,5.530747732,-1.632991142
104,7.990687121,5.364632262,-1.61797285
105,7.825105915,5.185224152,-1.664663178
106,7.656980163,4.996391943,-1.604401275
107,7.488498008,4.810122222,-1.654758048
108,7.32275771,4.630165166,-1.675787535
109,7.154515846,4.445791341,-1.649207531
110,6.987449936,4.257222483,-1.640290342
111,6.818240581,4.059483134,-1.633782186
112,6.648967836,3.871710483,-1.63951431
113,6.481149543,3.663862159,-1.596528591
114,6.312891785,3.495228177,-1.643771188
115,6.142812569,3.284549779,-1.641563691
116,5.97290496,3.094552757,-1.60850638
117,5.804623315,2.895354491,-1.62106692
118,5.636027383,2.697076718,-1.604029
119,5.467202341,2.49808216,-1.670209437
120,5.301962282,2.307727349,-1.728992879
121,5.147593326,2.147418179,-1.77189561
122,4.978645647,1.988490905,-1.818930992
123,4.799808004,1.854450765,-1.837536382
124,4.615253218,1.741767592,-1.814428197
125,4.428026529,1.671743482,-1.829009015
126,4.638552845,1.618415596,-1.892061039
127,4.849079161,1.598097797,-1.681534723
128,5.059605476,1.586462224,-1.471008407
129,5.270131792,1.562976403,-1.260482092
130,5.480658108,1.565271541,-1.049955776
131,5.691184424,1.560282961,-0.83942946
132,5.90171074,1.569691972,-0.628903144
133,6.112237055,1.582528722,-0.418376828
134,6.322763371,1.608834988,-0.207850513
135,6.533289687,1.655800568,0.002675803
136,6.743816003,1.710902556,0.213202119
137,6.954342318,1.796793441,0.423728435
138,7.164868634,1.87502948,0.63425475
